distrito_ind,same_as_wikidata_distrito,numHabitantes
Arganzuela,https://wikidata.org/entity/Q2000929,34786
Barajas,https://wikidata.org/entity/Q807230,45608
Carabanchel,https://wikidata.org/entity/Q1001991,27919
Centro,https://wikidata.org/entity/Q1763376,32213
Chamartin,https://wikidata.org/entity/Q1766348,26713
Chamberi,https://wikidata.org/entity/Q1763370,22138
Ciudad-Lineal,https://wikidata.org/entity/Q1763694,52529
Fuencarral-El-Pardo,https://wikidata.org/entity/Q656196,50969
Hortaleza,https://wikidata.org/entity/Q1928529,28712
Latina,https://wikidata.org/entity/Q794954,27409
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,39390
Moratalaz,https://wikidata.org/entity/Q2076109,32212
Puente-de-Vallecas,https://wikidata.org/entity/Q2003054,29417
Retiro,https://wikidata.org/entity/Q2002296,33730
Salamanca,https://wikidata.org/entity/Q1773521,20209
San-Blas,https://wikidata.org/entity/Q2001937,22646
Tetuan,https://wikidata.org/entity/Q1773540,19126
Usera,https://wikidata.org/entity/Q953368,38453
Vicalvaro,https://wikidata.org/entity/Q589403,27780
Villa-de-Vallecas,https://wikidata.org/entity/Q1947988,12704
Villaverde,https://wikidata.org/entity/Q919536,18638
